Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA-05-4433-01A	0.0015342591816009	0.0344424130390023	0.000767527106723468	0.0997036626041963	0	0.146458349716588	0.0220427453276465	0.0191475302298617	0.01357705305576	0	0.0181039234067234	0	0	0.321536818675278	0.0962788267971506	0.126920260703347	0.0218240580976167	0	0.0604839333922208	0	0	0.0171786386662835	0.01	0.363299302856756	0.937289343761604
TCGA-05-5420-01A	0.0325108339782277	0	0.210354043708562	0.0834976486951222	0	0.0885734228778779	0.0898735354345626	0.0177270474278179	0	0	0	0.00514565391205135	0	0.0947953643823378	0.123779734920565	0.131286782504592	0.0621437056044961	0	0.0416681195059195	0	0	0.0186441070478679	0	0.387320615796585	0.922283161680474
TCGA-05-5423-01A	0.0178970104063534	0.00747984467850681	0.0364042239130996	0.0376518351560292	0	0.171674123396695	0.0325216727747847	0.0281921319541408	0.0361393097252471	0.00294035248487796	0	0	0.0128599536605305	0.0204021415287922	0.00518513967529986	0.198643651754142	0.215244303052705	0.052738850981196	0.0568411952969831	0	0.032301395526481	0.0348828640341351	0	0.426436387865972	0.905024797559586
TCGA-05-5425-01A	0.0564740923078115	0	0.121123986668211	0.164790045415588	0	0.0783485750296257	0.0951705039395233	0.0137807730722955	0	0	0	0.0248079612962408	0.00492760967517993	0.0544909130610317	0.0980303005448713	0.126762690427818	0.0472190299950805	0.0174497096973157	0.0707951693063012	0	0.00878405735831495	0.0170445822047908	0.01	0.353705607005836	0.935428451603751
TCGA-05-5715-01A	0.012993253970945	0.0121342741100326	0.0519797521373126	0.0355685079796846	0	0.102550487514212	0	0.0102957955089138	0.0187180099288348	0	0	0.00627365025965917	0	0.395822486916174	0.00953784875685932	0.229478570199185	0.00278105314287119	0.0138363959497082	0.0928872629123121	0	0	0.00514265071329551	0	0.457497323112363	0.891544400480091
TCGA-38-4626-01A	0.00446059317015638	0	0.0310589275178643	0.0556307782726873	0	0.16296950274196	0	0	0	0	0.0070855088954055	0.0235855552476777	0.0788349587131633	0.221746544674989	0	0.25263362105521	0.00705963988507064	0.0376474286199292	0.0691319708058421	0	0.0158866371950698	0.0322683332049741	0.01	0.266901764358244	0.979100201734668
TCGA-38-4627-01A	0.00446123157759054	0	0.0793126005646244	0.0412254046071753	0	0.215175673557816	0.0200395993208897	0	0	0	0	0.0133246397855092	0.0187505478848471	0.0697840682992734	0.040904609928151	0.236309281920441	0.0549953402011811	0.0159658955158923	0.136589554502661	0	0.0353752294988731	0.0177863228350741	0.01	0.271171928365058	0.967431107507755
TCGA-38-4628-01A	0	0.00590542535902293	0.0413874364615094	0.0349026242978991	0	0.0973371454548519	0	0.00236062651224846	0.0121968724196347	0	0	0.0136387171193901	0.0266254703494918	0.191952456314746	0.0151147356303386	0.358036972903935	0.0787989707898513	0.0102200620121028	0.0889352461989537	0	0.0052043141789245	0.0173829239971006	0.01	0.307907647744756	0.964013769016008
TCGA-38-7271-01A	0	0.148468492414571	0.0807326579851906	0.13658653258111	0	0.210939672244489	0.0338497839792739	0	0.0477547057127207	0.0180844524684388	0	0.0104716381673948	0	0.102579762879709	0.0222302507702855	0.0839397127742221	0.0134048380799562	0.0159569958048982	0.0713125738312945	0	0	0.00368793030644573	0	0.426964971608068	0.903527926327142
TCGA-38-A44F-01A	0.0634208430310569	0.0166805427352815	0.133251539519297	0.0498201732355092	0	0.145147222793547	0.0168311412042211	0.0373439546909039	0.0555563003040733	0	0.0182329176158359	0	0.00935033228392491	0.0796886376380024	0.11591901092366	0.0799289912837885	0.0868088137571322	0.00120879789397741	0.0899729798725999	0	0	0.000837801217189964	0	0.396940830643502	0.916965877503517
TCGA-44-2655-01A	0.127447708331919	0	0.130346465353117	0.0348142575397105	0	0.197488295892091	0.0181835045348198	0.033251333247808	0.0171134802023598	0	0	0.000812434305324974	0.00830017534487372	0.0250891522044594	0.0218512467965773	0.140670006493509	0.141953002034868	0.00707249939062827	0.0568135221353059	0	0.0348385773471168	0.00395433884551093	0	0.43332702619039	0.901041018994308
TCGA-44-2656-01A	0.0869855847433909	0	0.162153768405355	0.190581054969989	0	0.0618496169104354	0.0882921955492542	0	0	0.00654732956388888	0	0	0.0031595252526147	0.0302396406779792	0.0802914026223331	0.151451166220435	0.0636439621990757	0.0144758643307274	0.0525827886642316	0	0.00286895653858132	0.00487714335170912	0	0.431686984046893	0.901210916338772
TCGA-44-2656-01B	0.0419372088579337	0	0.033858356253643	0.0475768408606849	0	0.325558558042433	0.0560134870104406	0	0	0.000712141625532437	0	0.0244462538716054	0.00317791584546254	0.0184777740260281	0.0452855528807829	0.172094086474638	0	0.114940621729475	0.0902632723059442	0	0.0256579302153965	0	0.01	0.200832674067663	1.00033670228734
TCGA-44-2657-01A	0.0805582941769462	0.0272662306161714	0.220248439898505	0.191806490313033	0	0.0391427182258123	0.0413275909383562	0.0572603610921164	0.0462525535392748	0.00401891147377181	0	0.000633931114192031	0.00239641382952783	0.0382397230266053	0.0492861961901515	0.0977937530640432	0.026192535118489	0.00182303278853275	0.0701666568949983	0	0	0.00558616769947325	0	0.587591624278868	0.816623238405656
TCGA-44-2659-01A	0.0738804010821747	0	0.221274898774882	0.129240715583257	0	0.212620544313207	0.0118260951379731	0.0331740895081272	0.0513899541169251	0	0	0.0018501095575187	0.000286085797403125	0.0271260640957423	0.0573314332522889	0.091961933637148	0.0141144099055334	0.00949724677670645	0.0616886626752093	0	0	0.00273735578590327	0	0.474573808064348	0.879348551798908
TCGA-44-2661-01A	0.0630853487151925	0	0.170226792128446	0.080960738452236	0	0.131329085929087	0.0211135274488029	0.0416427877060296	0.0161509417188501	0.00990762837462131	0	0.0165575732158289	0.0233766857529494	0	0.0420182966767954	0.159588106556859	0.0948208615727654	0.000975308839938647	0.115248804971073	0	0	0.0129975119405252	0	0.40280653653336	0.914532643928035
TCGA-44-2665-01A	0	0.0368981440069362	0.0239818930410861	0.0400120805732109	0	0.225136750397955	0	0	0	0	0.0145333499867356	0.0104658055949396	0.00972427887614757	0.208532813693441	0	0.203383894887757	0.0987075080540195	0.0660109456755109	0.0505233769173318	0	0	0.012089158294928	0.01	0.23230833554289	0.991980136766627
TCGA-44-2666-01A	0.0776542467436005	0	0.113072169857626	0.0335912550948232	0	0.136248809668896	0	0	0.0669853733823426	0	0	0.0491114889194008	0	0	0	0.0647617030582819	0.00290941739780588	0.109946814123555	0.337322096780566	0	0	0.00839662497310179	0.01	0.328186851651196	0.950504762252837
TCGA-44-2666-01B	0.0560759554058408	0	0.191200231994708	0.0102199445723773	0	0.309020427778995	0.00801768973798416	0	0	0	0	0.0179056431460794	0	0	0	0.0649578716515719	0.0176415518502716	0.0761087297985097	0.201284533484581	0	0.0475674205790806	0	0	0.386091426822179	0.923192236355566
TCGA-44-3396-01A	0.0236547226319637	0	0.167127822700046	0.0520020634969411	0	0.15905592664309	0.020806728895627	0.00535877580963932	0	0.0251645045732573	0.0350991708603833	0	0	0.165929046274801	0.0977741670993908	0.129238616491391	0.0455415414334626	0	0.00913277633577565	0.0170993577385678	0.0133265783763107	0.0336882006393533	0.01	0.316830807512623	0.953924996044401
TCGA-44-3398-01A	0	0.086530861327213	0.110047468832721	0	0	0.173812622787313	0	0	0	0	0.0579501416674764	0	0.0264956724907362	0.0145011059569526	0.0175899748072599	0.0721430583205249	0.287982446196935	0.0538949707160856	0.0774951522330037	0.0106836917154296	0	0.010872832948349	0.01	0.354616653374437	0.934918637060855
TCGA-44-3918-01A	0.00621845140456845	0	0.139328318484024	0.120265618557781	0	0.150565046083536	0.119645442508479	0.0031948624030795	0	0	0.044641559904204	0	0	0.0774656345302196	0.0655063825171689	0.167072740421319	0.0216606066000567	0.0290444015738663	0.0444183395568558	0	0	0.0109725954548419	0.01	0.280211685941031	0.966033390640505
TCGA-44-3918-01B	0.0924353596412687	0	0.0258070064571523	0	0	0.47500041835727	0.0367653048486586	0.0175135157326665	0	0.01948572259047	0.00120599730806798	0.00950647036879919	0	0.0602961744573363	0.0882789583187552	0.11517678348443	0.000847949609843407	0.0149372790218847	0.0194745272355623	0	0.0232685325678344	0	0.01	0.233531906205529	0.998851199220558
TCGA-44-4112-01A	0.00836821745279533	0.00836574231876298	0.209842780484256	0.0469990373205946	0	0.170551768426047	0.00829687978211419	0	0	0.0143576438624746	0	0.026774033258034	0.0145004264953666	0.0614795337739085	0.0341904097229557	0.17824481675797	0.0542318979080001	0.00632655067303781	0.134009137237738	0	0	0.0234611245259454	0	0.37852836822623	0.925351455072562
TCGA-44-4112-01B	0.0831766268337342	0	0.0983164946047587	0	0	0.376970921767563	0.0461482290226917	0.00591469773620179	0	0	0.00294399590756818	0	0	0.0242196197527241	0.0106424476402175	0.154219628122525	0	0.0838968856830129	0.0635503458829639	0	0.0500001070460388	0	0.01	0.275724623051317	0.969722409243783
